POPID	Name	Neighborhood
POP-00363	Rayon Dart	Lake Merritt
POP-00364	Kim Peru	Rockridge
POP-00365	Dexter Patel	Downtown
POP-00366	Alicia Hernandez	Uptown
POP-00367	Ron Arenson	Laurel
POP-00368	Dom Will	West Oakland
POP-00430	Juniper Walken	Temescal
POP-00431	Hassan Montero	Uptown
POP-00432	Duarte Washerman	West Oakland
POP-00433	Brooke Garcia	West Oakland
POP-00434	Jade Soy	Rockridge
POP-00435	Driscoll Fester	Uptown
POP-00436	Augusta Davis	Fruitvale
POP-00437	Amelia Kim	Uptown
POP-00438	Charolette Flores	Uptown
POP-00439	Timmie Hall	Chinatown
POP-00440	Xing Patel	Jack London
POP-00441	Soriya Rodriguez	West Oakland
POP-00442	Daire Green	Fruitvale
POP-00443	Ace Hill	Fruitvale
POP-00444	Cilla Hall	Jack London
POP-00445	Sam Fazio	Lake Merritt
POP-00446	Dimas Wong	Piedmont Ave
POP-00447	Tyler Filet	Lake Merritt
POP-00448	Ray Neal	West Oakland
POP-00449	Teri Mitchell	Uptown
POP-00450	Rivers Escodedo	Laurel
POP-00451	Andie Topez	Laurel
POP-00452	Jodi Foil	Lake Merritt
POP-00453	Thomas Farrot	Lake Merritt
POP-00454	Amanda Hall	Laurel
POP-00455	Ily Gonzalez	Uptown
POP-00456	Bailey Allen	West Oakland
POP-00457	Chole Kim	Fruitvale
POP-00458	Riley Boon	Jack London
POP-00459	Brielle Lewis	Fruitvale
POP-00460	Kenji Okafor	Rockridge
POP-00461	Wesley Clark	Temescal
POP-00462	Birdie Flores	Temescal
POP-00463	Rosie Piru	West Oakland
POP-00464	Celeste Park	Rockridge
POP-00465	April Nelson	Uptown
POP-00466	Juliette Park	Uptown
POP-00467	Cedric Yamamoto	Uptown
POP-00468	Collete Allen	Laurel
POP-00469	Yusuf Carmichael	Rockridge
POP-00470	Maren Johns	Rockridge
POP-00471	Anna Baker	Jack London
POP-00472	Josie Wong	Laurel
POP-00473	Destiny Ochoa	Fruitvale
POP-00474	Ally Scott	Downtown
POP-00475	Maya Santos	Temescal
POP-00476	Jenna Comer	Rockridge
POP-00477	Timothy Leal	Jack London
POP-00478	Maya Brooks	Laurel
POP-00479	Rango Young	Temescal
POP-00480	Terrance Robinson	Uptown
POP-00481	Kelvon Ochoa	Rockridge
POP-00482	Catherine Santos	Lake Merritt
POP-00483	Jace Robinson	West Oakland
POP-00484	Tim Allenson	Temescal
POP-00485	Jillian Tort	Downtown
POP-00486	Remo Rodriguez	Temescal
POP-00487	Jimar Garcia	Chinatown
POP-00488	Rupert Ochoa	Fruitvale
POP-00489	Thalia Okwu	Uptown
POP-00490	Keenan Kim	West Oakland
POP-00491	Brenda Gonzalez	West Oakland
POP-00492	Dune Topez	Laurel
POP-00493	Lima Fila	Jack London
POP-00494	Weston Herrin	Chinatown
POP-00495	Rosalind Young	Laurel
POP-00496	Rosa Simon	Laurel
POP-00497	Abraham Wright	Chinatown
POP-00498	Beatrix Santos	Temescal
POP-00499	Jalen Serf	Piedmont Ave
POP-00500	Bali Cruz	Laurel
POP-00501	Denise Carter	West Oakland
POP-00502	Leonard Tran	Downtown
POP-00503	Rose Delgado	Fruitvale
POP-00504	Warren Ashford	Rockridge
POP-00505	Nina Chen	Lake Merritt
POP-00506	Terrence Mobley	Uptown
POP-00507	Mara Vance	Rockridge
POP-00508	Freddie Silecki	Piedmont Ave
POP-00509	Johhny Necklar	Rockridge
POP-00510	Billy Storip	Rockridge
POP-00511	Dimmie Washington	West Oakland
POP-00512	Raymond Torres	Laurel
POP-00513	Gerald Hoffman	Laurel
POP-00514	Vincent Ramirez	Lake Merritt
POP-00515	Ingrid Bautista	West Oakland
POP-00516	Luis Mitchell	Temescal
POP-00517	Shai Diaz	Fruitvale
POP-00518	Chase West	Fruitvale
POP-00519	Wei Thomas	Chinatown
POP-00520	Derwin Train	Chinatown
POP-00521	Jude Hess	West Oakland
POP-00522	Ethan Horton	Fruitvale
POP-00523	Serg Cerrano	Fruitvale
POP-00524	Maston Burke	West Oakland
POP-00525	Miguel King	Fruitvale
POP-00526	Marisol Achebe	Fruitvale
POP-00527	Mike Paulson	Jack London
POP-00528	Deacon Seymour	Lake Merritt
POP-00529	Tomas Aguilar	Jack London
POP-00530	Lena Okafor	Fruitvale
POP-00531	Priya Nair	Downtown
POP-00532	Marcus Whitfield	Fruitvale
POP-00533	Travis Coles	Downtown
POP-00534	Dak Leo	Lake Merritt
POP-00535	Lisa Tanaka	Chinatown
POP-00536	Everson Morello	Uptown
POP-00537	Marin Tao	Chinatown
POP-00538	Nila James	Temescal
POP-00539	Lena Cross	Piedmont Ave
POP-00540	Jade Orion	Lake Merritt
POP-00541	Theo Burkes	Downtown
POP-00542	Nina Rines	Lake Merritt
POP-00543	Derek Obi	Downtown
POP-00544	Jem Steele	Rockridge
POP-00545	Rowan Pierce	Piedmont Ave
POP-00546	Tara Ellison	Rockridge
POP-00547	Jocelyn Santo	Lake Merritt
POP-00554	Patricia Nwosu	Downtown
POP-00555	Mariano Rosales	Jack London
POP-00556	Renata Voss	Rockridge
POP-00573	Calvin Mwangi	West Oakland
POP-00576	Beth Hayes	West Oakland
POP-00588	Darren Briggs	Fruitvale
POP-00589	Michael Creighton	Temescal
POP-00590	Reggie Soto	Fruitvale
POP-00591	Selena Grant	Chinatown
POP-00592	Talia Finch	Jack London
POP-00593	Priscilla Odom	Temescal
POP-00594	Robert Corliss	Lake Merritt
POP-00595	Sarah Corliss	Temescal
POP-00596	Michael Corliss	KONO
POP-00597	Eric Taveras	Downtown
POP-00598	Vladimir Gonzalez	Fruitvale
POP-00599	Jose Colon	Chinatown
POP-00603	Amir Delia	Downtown
POP-00604	Timu Aguilar	Fruitvale
POP-00617	Eleanor Rivera	West Oakland
POP-00618	Lucy Ferreira	Fruitvale
POP-00619	Tarrance Bolden	Fruitvale
POP-00620	Yuki Tanaka	Lake Merritt
POP-00621	Delvon Pratt	West Oakland
POP-00622	Marisela Rios	Fruitvale
POP-00623	Winston Clarke	Laurel
POP-00624	Aisha Toure	Downtown
POP-00625	Gregory Cho	Chinatown
POP-00626	Fatima Al-Hassan	Uptown
POP-00627	Emma Washington	Fruitvale
POP-00628	Tina Kozlov	Temescal
POP-00629	Marcus Ibarra	Jack London
POP-00630	Patricia Leung	Lake Merritt
POP-00631	Derry Webb	Uptown
POP-00632	Rico Valez	Fruitvale
POP-00633	Dolores Fuentes	Fruitvale
POP-00634	Dame Reed	Jack London
POP-00635	Mei Chen	Chinatown
POP-00636	Luis Navarro	Fruitvale
POP-00637	Brooks Wright	Downtown
POP-00638	Dean Nelson	Downtown
POP-00639	Juan White	Temescal
POP-00640	Bryce Lee	Temescal
POP-00641	Hector Campbell	Rockridge
POP-00642	Ollie Campbell	Jack London
POP-00643	Guadalupe Lupe	Jack London
POP-00644	Rafael Pilgrim	Fruitvale
POP-00645	Ezekiel Campbell	Adams Point
POP-00646	Tiro Worso	Piedmont Ave
POP-00647	Ronald Silk	Chinatown
POP-00648	Mart Johns	Adams Point
POP-00649	Jire Hilt	Jack London
POP-00650	Mesi Westin	Jack London
POP-00651	Howard Yell	Rockridge
POP-00652	Brine Williams	Chinatown
POP-00653	Jerome Jessup	Uptown
POP-00654	Willy Wally	Rockridge
POP-00655	Antwan Warren	Jack London
POP-00656	Brianna Scott	Jack London
POP-00657	Aida Jackson	Piedmont Ave
POP-00658	Darius Cike	Rockridge
POP-00659	Ripley Court	Rockridge
POP-00660	Ala Lewis	Piedmont Ave
POP-00661	Bianca Crook	Lake Merritt
POP-00662	Simone Limone	Chinatown
POP-00663	Soo Loo	Downtown
POP-00664	Lilan Cert	Lake Merritt
POP-00665	Art Scott	Lake Merritt
POP-00666	Kaila Raimon	Temescal
POP-00667	Lo Thoop	Temescal
POP-00668	Tobias Wing	West Oakland
POP-00669	Tank Fiester	Lake Merritt
POP-00670	Drew Lemon	Downtown
POP-00671	Siu Niu	Piedmont Ave
POP-00672	Waymen Brown	Uptown
POP-00673	Lilac Hint	Uptown
POP-00674	Reggio Leo	Uptown
POP-00675	Ilandra Tain	West Oakland
POP-00676	Teddy Tamus	Chinatown
POP-00677	Tio Rio	Chinatown
POP-00678	Celo Patel	Jack London
POP-00679	Amear Thompson	Chinatown
POP-00680	Ammie Carter	Downtown
POP-00681	Moltin Tilton	Rockridge
POP-00682	Mimmie Carlisle	Temescal
POP-00683	Mark Fisher	Downtown
POP-00684	Jarko Freako	West Oakland
POP-00685	Eliza Nguyen	Downtown
POP-00686	Kaila Jack	Uptown
POP-00687	Alexa Ward	West Oakland
POP-00688	Merkin Jumper	Downtown
POP-00689	Warchester Nathan	Downtown
POP-00690	Eloise Jackson	Jack London
POP-00691	Tom Jilner	Rockridge
POP-00692	Weslie Cooper	Piedmont Ave
POP-00693	Mina Temp	Jack London
POP-00694	Marcello Ramas	Lake Merritt
POP-00695	Annika Delgado	Laurel
POP-00696	Soleil Kapoor	Chinatown
POP-00697	Declan Toto	Lake Merritt
POP-00698	Marisio Curazo	Chinatown
POP-00699	Iggy Davis	Rockridge
POP-00700	Dave Eriksson	Fruitvale
POP-00701	Tee Dee	Laurel
POP-00702	Tiu Kim	Lake Merritt
POP-00703	Ira Leu	Temescal
POP-00704	Iwwa Cruz	Temescal
POP-00705	Jessie Berry	Jack London
POP-00706	Rosa Ochoa	Laurel
POP-00707	Markenie Tian	Lake Merritt
POP-00708	Dyami Mitchell	Uptown
POP-00709	Jessica Brooks	Temescal
POP-00710	Julie Santos	Chinatown
POP-00711	Xavier Robinson	Lake Merritt
POP-00712	Jeremy Wong	West Oakland
POP-00713	Lilo Belton	Temescal
POP-00714	Drago Helio	Chinatown
POP-00715	Nadine Beckett	Piedmont Ave
POP-00716	Omarion Farah	Chinatown
POP-00717	Nikolai Fuentes	Uptown
POP-00718	Ileana Vasquez	Jack London
POP-00719	Debbie Kaplan	Jack London
POP-00720	Russell Hayward	Laurel
POP-00721	Jesus Jorden	Temescal
POP-00722	Daniel Cloak	West Oakland
POP-00723	Ronald Wough	Downtown
POP-00724	Milo Lanning	Laurel
POP-00725	Matthew Welker	Jack London
POP-00726	Vivian Fong	Chinatown
POP-00727	Gloria Hutchins	West Oakland
POP-00728	DeShawn Avery	Fruitvale
POP-00729	Patricia Nolan	Temescal
POP-00730	Clarence Moody	Dimond
POP-00731	Leanne Wu	Rockridge
POP-00732	Deon Whitfield	West Oakland
POP-00733	Dorothy Rios	Fruitvale
POP-00734	Father Miguel	Fruitvale
POP-00735	Carla Edmonds	West Oakland
POP-00736	Vincent Cho	Jack London
POP-00737	Everly Rainey	Downtown
POP-00738	Vivian Tse	Chinatown
POP-00739	Karem Asante	West Oakland
POP-00740	Miriam Shelton	Lake Merritt
POP-00741	Hector Navarro	Temescal
POP-00742	Maya Torres-Dillon	Rockridge
POP-00743	Rick Dillon	Rockridge
POP-00744	Tomas Renteria	Fruitvale
POP-00745	Sonia Parikh	Temescal
POP-00746	Shawn Neighbor	Fruitvale
POP-00747	Gloria Meeks	Downtown
POP-00748	Vince Okoye	Lake Merritt
POP-00749	Linda Chow	Rockridge
POP-00750	Sandra Liu	Downtown
POP-00753	Eunice Marston	Downtown
POP-00754	Ophelia Brenner	Fruitvale
POP-00755	Antoine Vermeer	Lake Merritt
POP-00756	Ramon Solano	Fruitvale
POP-00757	Daniel Han	Lake Merritt
POP-00758	Robert Jaston	West Oakland
POP-00759	Naomi Sterling	Rockridge
POP-00760	Yael Bauer	Piedmont Ave
POP-00761	Idris Karim	Temescal
POP-00762	Aziz Rahimi	Fruitvale
POP-00763	Kenji Tanaka	Chinatown
POP-00764	Tao Lee	Downtown
POP-00765	Anand Krishnamurthy	Rockridge
POP-00766	Manjit Singh	Fruitvale
POP-00767	Miriam Goldstein	Lake Merritt
POP-00768	Eleanor Bishop	Lake Merritt
POP-00769	Dax Monroe	Rockridge
POP-00770	Kato Rivers	Laurel
POP-00771	Sage Vienta	West Oakland
POP-00772	Beverly Hayes	West Oakland
POP-00773	Jada Rayes	West Oakland
POP-00774	Malik Hayes	Fruitvale
POP-00775	Sammie Alvarez	Temescal
POP-00776	Kwame Ellis	Downtown
POP-00777	Rico Valdez	Baylight District
POP-00778	Jamal Thompson	San Antonio
POP-00779	Nia Patel	Rockridge
POP-00780	Delin Morales	Fruitvale
POP-00781	Vanessa Treary	Lake Merritt
POP-00782	Devon Willis	Adams Point
POP-00783	Yuki Ji	Lake Merritt
POP-00784	Isaac Martinez	Ivy Hill
POP-00785	Matra Woven	Chinatown
POP-00786	Colin Phillips	Laurel
POP-00787	Robert Hayes	West Oakland
POP-00788	Terrence Wussin	Jack London
POP-00789	Elias Varek	West Oakland
POP-00790	Marcus Webb	Downtown
POP-00791	Eloise Soria-Dominguez	Fruitvale
POP-00792	Bobby Chen-Ramirez	Temescal
POP-00793	Gil Saucedo	Lake Merritt
POP-00794	Irene Fay	West Oakland
POP-00795	Marisol Trujillo	Fruitvale
POP-00796	Dank Abara	San Antonio
POP-00797	Curtis Boone	West Oakland
POP-00798	Grace Yamamoto	Adams Point
POP-00799	Jax Caldera	Temescal
POP-00800	Rhea Morgan	Fruitvale
POP-00801	Maurice Franklin	Rockridge
POP-00802	Funmi Shah	KONO
POP-00803	Akua Adeyemi	Chinatown
